Ortsname                          Breite    Laenge
Gersdorf                          50n45     12e42
Gersfeld                          50n27     9e55
Gerstetten                        48n37     10e1
Gersthofen                        48n25     10e53
Gerstungen                        50n58     10e4
Gerwisch                          52n10     11e44
Gerzen                            48n31     12e25
Gescher                           51n57     6e59
Geschwenda                        50n44     10e49
Gesees                            49n54     11e32
Geseke                            51n38     8e31
Gessertshausen                    48n20     10e44
Gettorf                           54n24     9e58
Gevelsberg                        51n19     7e20
Geyer                             50n37     12e55
Giebelstadt                       49n39     9e56
Gieboldehausen                    51n36     10e13
Gielow                            53n42     12e44
Gielsdorf                         52n36     13e52
Giengen                           48n37     10e14
Gierath                           51n7      6e33
Giesebitz                         54n42     17e26
Gieselwerder                      51n36     9e33
Giessen                           50n35     8e40
Gifhorn                           52n29     10e33
Giflitz                           51n9      9e7
Gilching                          48n7      11e17
Gildehaus                         52n18     7e6
Gilserberg                        50n57     9e4
Gimborn                           51n3      7e28
Ginderich                         51n39     6e32
Gingst                            54n27     13e16
Gittelde                          51n48     10e10
Gizycko                           54n3      21e47
Gladbeck                          51n34     6e59
Gladenbach                        50n46     8e34
Glandorf                          52n5      7e59
Glashuette BRD                    53n41     10e2
Glashuette DDR                    50n51     13e47
Glasow                            52n20     13e28
Glatten                           48n26     8e31
Glatz                             50n27     16e39
Glaubitz                          51n19     13e22
Glauchau                          50n49     12e32
Glehn                             51n10     6e35
Gleidingen                        52n16     9e50
Gleiwitz                          50n17     18e40
Gleschendorf                      54n2      10e40
Glesien                           51n27     12e13
Gleussen                          50n8      10e53
Glienicke bei Berlin              52n37     13e19
Glienicke bei Fuerstenwalde       52n13     14e5
Glinde                            53n32     10e13
Glindow                           52n21     12e54
Gliwice                           50n17     18e40
Gloewen                           52n55     12e5
Glogau                            51n40     16e5
Glogow                            51n40     16e5
Glogowek                          50n22     17e51
Glonn                             47n59     11e52
Glowe                             54n35     13e28
Glubczyce                         50n13     17e49
Glucholazy                        50n20     17e22
Gluecksburg                       54n50     9e33
Glueckstadt                       53n47     9e25
Gmund am Tegernsee                47n45     11e44
Gnarrenburg                       53n22     9e0
Gnoien                            53n58     12e42
Goch                              51n41     6e10
Gochsheim                         50n1      10e16
Goddelau                          49n50     8e30
Godelheim                         51n44     9e22
Godshorn                          52n26     9e43
Goeggingen                        48n20     10e52
Goehl                             54n17     10e56
Goehrde                           53n8      10e52
Goehren                           54n20     13e44
Goelsdorf                         51n59     12e39
Goeppingen                        48n42     9e40
Goergeshausen                     50n24     7e56
Goeritz                           53n24     13e54
Goeritzheim                       50n58     12e47
Goerke                            53n51     13e38
Goerlitz                          51n9      14e59
Goermin                           53n59     13e16
Goersdorf                         51n54     13e29
Goerwihl                          47n39     8e4
Goerzig                           51n40     12e0
Goerzke                           52n10     12e22
Goessenheim                       50n1      9e46
Goessnitz                         50n53     12e26
Goessweinstein                    49n46     11e20
Goetterwickersham                 51n35     6e40
Goettin                           52n27     12e54
Goetting                          47n52     11e56
Goettingen                        51n32     9e57
Goettingen bei Marburg            50n52     8e46
Gogolin                           50n30     18e2
Gohfeld                           52n12     8e45
Gohr                              51n6      6e43
Golczewo                          53n49     14e59
Goldap                            54n19     22e19
Goldbeck                          52n43     11e52
Goldberg                          53n35     12e5
Goldberg                          51n8      15e55
Goldenstedt                       52n48     8e25
Goldlauter                        50n38     10e44
Goleniow                          53n36     14e50
Gollnow                           53n36     14e50
Golm                              52n24     12e57
Golssen                           51n58     13e36
Golzow an der Oder                52n34     14e29
Golzow in Brandenburg             52n16     12e36
Gomaringen                        48n27     9e5
Gommern                           52n4      11e50
Gora                              51n40     16e33
Gorlosen                          53n11     11e27
Gornau                            50n46     13e2
Gorowo Ilaweckie                  54n17     20e30
Gorzow Wielkopolski               52n44     15e15
Gorzyca                           52n29     14e40
Gosberg                           49n42     11e7
Gosen                             52n24     13e43
Goslar                            51n54     10e25
Gossa                             51n40     12e26
Gotha                             50n57     10e41
Gottenheim                        48n3      7e44
Gottesbruecke                     52n25     13e49
Gottmadingen                      47n44     8e47
Gottsbueren                       51n35     9e30
Gottsdorf                         48n32     13e44
Goyatz                            52n1      14e9
Gozdnica                          51n26     15e6
Gozdowice                         52n45     14e18
Graben                            49n9      8e29
Grabenstaett                      47n51     12e32
Grabow                            53n16     11e34
Graefeling                        48n7      11e25
Graefenberg                       49n39     11e15
Graefenhainichen                  51n44     12e27
Graefenroda                       50n45     10e48
Graefenthal                       50n31     11e18
Graefentonna                      51n5      10e44
Graefinau-Angstedt                50n42     11e1
Graevenwiesbach                   50n23     8e27
Grafenau                          48n52     13e25
Grafenwoehr                       49n43     11e54
Grafing bei Muenchen              48n2      11e59
Gramschatz                        49n56     9e58
Gramzow                           53n12     14e0
Gransee                           53n0      13e9
Granzin bei Neustrelitz           53n25     12e53
Granzin bei Schwerin              53n30     11e56
Grasdorf                          52n6      10e9
Grasleben                         52n18     11e1
Grassau                           47n47     12e27
Graupa                            51n0      13e54
Grebenhain                        50n29     9e19
Grebenstein                       51n26     9e24
Greding                           49n3      11e21
Greene                            51n52     9e56
Greetsiel                         53n30     7e5
Grefrath bei Krefeld              51n20     6e20
Grefrath bei Neuss                51n10     6e38
Greifenberg                       53n56     15e12
Greifendorf                       51n1      13e6
Greifenhagen                      53n12     14e30
Greiffenberg                      53n5      13e58
Greifswald                        54n5      13e23
Greinsheim                        49n18     8e16
Greiz                             50n39     12e12
Gremersdorf                       54n20     10e55
Greppin                           51n39     12e18
Gresenhorst                       54n9      12e26
Greussen                          51n14     10e57
Greven                            52n5      7e36
Greven-Granzin                    53n29     10e48
Grevenbroich                      51n5      6e35
Grevesmuehlen                     53n51     11e10
Griesbach                         48n36     12e35
Griesbach im Rottal               48n28     13e11
Griesen                           47n29     10e56
Griesheim                         49n50     8e34
Griessem                          52n0      9e12
Grillenburg                       50n57     13e31
Grimma                            51n14     12e43
Grimmen                           54n7      13e2
Gristow                           54n10     13e20
Grodkow                           50n43     17e22
Groeben                           52n17     13e10
Groebenzell                       48n11     11e22
Groebzig                          51n41     11e52
Groeditsch                        52n3      13e59
Groeditz                          51n24     13e27
Groemitz                          54n9      10e58
Groenenbach                       47n52     10e13
Groeningen                        51n56     11e13
Groenwohld                        53n39     10e25
Grohnde                           52n1      9e25
Groitzsch                         51n9      12e16
Gronau                            52n13     7e0
Gronau bei Hildesheim             52n5      9e46
Grone                             51n32     9e53
Gross Ammensleben                 52n14     11e31
Gross Berkel                      52n4      9e19
Gross Boernecke                   51n50     11e29
Gross Duengen                     52n6      10e1
Gross Gleidingen                  52n14     10e25
Gross Glienicke                   52n28     13e7
Gross Groenau                     53n46     10e44
Gross Kienitz                     52n19     13e28
Gross Kreutz                      52n24     12e46
Gross Leine                       52n0      14e3
Gross Moellen                     54n16     16e1
Gross Muckrow                     52n4      14e26
Gross Oesingen                    52n38     10e29
Gross Rhueden                     51n56     10e7
Gross Rodensleben                 52n8      11e25
Gross Rosenburg                   51n55     11e53
Gross Schoenebeck                 52n54     13e32
Gross Strehlitz                   50n31     18e19
Gross Wittensee                   54n24     9e46
Gross Ziethen bei Berlin          52n24     13e27
Gross Ziethen bei Oranienburg     52n44     13e1
Gross-Beeren                      52n21     13e18
Gross-Bieberau                    49n48     8e49
Gross-Gerau                       49n55     8e29
Gross-Hehlen                      52n39     10e3
Gross-Kollmar                     53n44     9e30
Gross-Sarau                       53n45     10e44
Gross-Schulzendorf                52n16     13e21
Gross-Umstadt                     49n52     8e55
Grossaitingen                     48n14     10e47
Grossalmerode                     51n15     9e46
Grossalsleben                     51n59     11e13
Grossauheim                       50n6      8e56
Grossbodungen                     51n28     10e28
Grossbothen                       51n11     12e44
Grossbottwar                      49n0      9e17
Grossbreitenbach                  50n35     11e2
Grossburgwedel                    52n29     9e51
Grossdeuben                       51n14     12e23
Grossdubrau                       51n15     14e28
Grossebersdorf                    50n47     11e57
Grossen-Buseck                    50n36     8e47
Grossen-Linden                    50n31     8e39
Grossenbrode                      54n22     11e5
Grossengottern                    51n9      10e34
Grossengstingen                   48n23     9e17
Grossenhain                       51n17     13e31
Grossenheidorn                    52n27     9e23
Grossenkneten                     52n26     8e16
Grossenlueder                     50n35     9e32
Grossenritte                      51n15     9e23
Grossenwiehe                      54n43     9e15
Grossgoerschen                    51n13     12e11
Grosshansdorf                     53n40     10e17
Grosshartmannsdorf                50n48     13e19
Grossheide                        53n35     7e20
Grosshennersdorf                  50n59     14e47
Grossholzleute                    47n41     10e5
Grosskayna                        51n17     11e56
Grosskorbetha                     51n16     12e1
Grosslehna                        51n18     12e10
Grosslittgen                      50n2      6e47
Grossmachnow                      52n16     13e28
Grossmehring                      48n46     11e32
Grossnoebach                      48n21     11e35
Grossoerner                       51n37     11e29
Grossostheim                      49n55     9e4
Grosspostwitz                     51n7      14e26
Grossquenstedt                    51n56     11e7
Grossraeschen                     51n35     14e0
Grossrinderfeld                   49n39     9e44
Grossroehrsdorf                   51n8      14e1
Grossrudestedt                    51n5      11e6
Grossrueckerswalde                50n38     13e7
Grosssachsenheim                  48n58     9e4
Grossschirma                      50n58     13e17
Grossschoenau                     50n54     14e40
Grosstimmern                      49n52     8e50
Grosswell                         47n41     11e18
Grosszimmern                      49n52     8e50
Grottkau                          50n43     17e22
Grube BRD                         54n14     11e1
Grube DDR                         52n26     12e57
Grubweg                           48n35     13e29
Gruena                            50n49     12e47
Gruenbach                         50n26     12e22
Gruenberg                         50n35     8e58
Gruenberg                         51n56     15e31
Gruenefeld                        52n41     12e58
Grueneplan                        51n57     9e44
Gruenewald BRD                    51n13     7e37
Gruenewald DDR                    51n24     14e0
Gruenhain                         50n35     12e48
Gruenhainichen                    50n46     13e8
Gruenheide                        52n25     13e49
Gruensfeld                        49n36     9e44
Gruenstadt                        49n34     8e10
Gruental                          52n45     13e44
Gruenwald                         48n2      11e31
Gruiten                           51n14     7e1
Gryfice                           53n56     15e12
Gryfino                           53n12     14e30
Gschwend                          48n56     9e44
Gubin                             51n56     14e45
Gudensberg                        51n10     9e22
Gudow                             53n33     10e46
Gueglingen                        49n4      9e0
Guendlkoferau                     48n31     12e2
Guentersberge                     51n38     10e59
Guenzburg                         48n27     10e16
Guesen                            52n21     11e59
Guesten                           51n49     11e35
Guestrow                          53n48     12e10
Guetersfelde                      52n22     13e12
Guetersloh                        51n54     8e23
Guetzkow                          53n56     13e24
Guhrau                            51n40     16e33
Gumbinnen                         54n36     22e12
Gummersbach                       51n2      7e34
Gundelfingen an der Donau         48n33     10e22
Gundelfingen bei Freiburg         48n3      7e52
Gundelsdorf                       48n33     11e3
Gundelsheim                       49n17     9e9
Guntersblum                       49n47     8e21
Gunzenhausen                      49n7      10e45
Gurjevsk                          54n47     20e38
Gusev                             54n36     22e12
Gustorf                           51n4      6e34
Gutach                            48n15     8e13
Guttau                            51n15     14e34
Guttentag                         50n44     18e27
Guttstadt                         53n59     20e25
Guxhagen                          51n12     9e28
Gvardejsk                         54n39     21e5
Haag in Oberbayern                48n10     12e11
Haagen                            47n38     7e40
Haan                              51n11     7e0
Haar                              48n6      11e44
Haaren                            51n34     8e44
Habelschwerdt                     50n18     16e38
Haberskirchen                     48n31     12e39
Hachen                            51n22     7e59
Hachenburg                        50n39     7e50
Hachmuehlen                       52n10     9e28
Hadamar                           50n27     8e2
Hadmersleben                      51n59     11e18
Haemelerwald                      52n22     10e5
Haemmern                          51n8      7e21
Haenigsen                         52n29     10e5
Haffen-Mehr                       51n44     6e28
Haffkrug-Scharbeutz               54n2      10e44
Hagau                             48n43     11e22
Hage                              53n36     7e17
Hagen bei Osnabrueck              52n12     7e59
Hagen in Niedersachsen            52n34     9e26
Hagen in Westfalen                51n22     7e28
Hagenow                           53n26     11e11
Hagenwerder                       51n4      14e58
Hahlen                            52n18     8e50
Hahn2                             50n31     7e53
Hahnbach                          49n32     11e48
Hahnenberg                        51n12     7e28
Hahnenklee-Bockswiese             51n51     10e20
Hahnstaetten                      50n18     8e4
Haidhof                           49n50     11e39
Haidmuehle                        48n50     13e46
Haiger                            50n44     8e13
Haigerloch                        48n22     8e48
Hailing                           48n45     12e33
Haimhausen                        48n19     11e34
Haina                             51n2      8e58
Hainchen                          50n51     8e12
Hainewalde                        50n54     14e41
Hainichen                         50n58     13e7
Hainsbach                         48n44     12e25
Hainsberg                         50n59     13e38
Halbau                            51n30     15e12
Halbe                             52n6      13e42
Halberstadt                       51n54     11e2
Haldensleben                      52n18     11e26
Haldern                           51n46     6e27
Halesiel                          53n43     7e49
Halfing                           47n57     12e16
Halingen                          51n27     7e44
Halle an der Saale                51n29     11e58
Halle an der Weser                51n59     9e33
Halle im teutoburger Wald         52n4      8e22
Hallenberg                        51n6      8e37
Hallstadt                         49n55     10e52
Halsbruecke                       50n57     13e21
Halstenbek                        53n38     9e50
Haltern                           51n46     7e10
Halver                            51n11     7e30
Hambergen                         53n18     8e49
Hamburg                           53n33     9e59
Hameln                            52n6      9e21
Hamersleben                       52n4      11e5
Hamm                              51n41     7e49
Hamm bei Recklinghausen           51n43     7e10
Hammelburg                        50n7      9e53
Hammerbruecke                     50n26     12e25
Hammermuehle                      54n15     16e52
Hammerstein                       53n42     16e57
Hamminkeln                        51n44     6e35
Hanau                             50n8      8e55
Handorf                           51n59     7e41
Handzell                          48n34     11e4
Hankensbuettel                    52n44     10e36
Hannover                          52n24     9e44
Harbke                            52n12     11e3
Harburg                           48n47     10e41
Harburg-Wilhelmsburg              53n28     9e59
Hardegsen                         51n39     9e49
Hardheim                          49n36     9e28
Hardt                             51n7      6e58
Hardteck                          54n24     22e23
Haren                             52n47     7e14
Harlingerode                      51n54     10e31
Harpstedt                         52n54     8e35
Harrislee                         54n48     9e22
Harsefeld                         53n27     9e30
Harsewinkel                       51n58     8e13
Harsleben                         51n52     11e5
Harsum                            52n12     9e57
Hartenholm                        53n54     10e3
Hartenstein                       50n39     12e40
Hartha                            51n5      12e58
Hartmannsdorf                     50n53     12e48
Hartmannshain                     50n28     9e16
Harzgerode                        51n38     11e8
Hasbergen bei Bremen              53n5      8e40
Hasbergen bei Osnabrueck          52n14     7e57
Haselberg                         54n57     22e30
Haseluenne                        52n40     7e29
Haslach im Kinzigtal              48n16     8e6
Hassbergen                        52n44     9e13
Hassel                            52n48     9e11
Hasselbeck-Schwarzbach            51n16     6e53
Hasselfelde                       51n41     10e51
Hassfurt                          50n2      10e31
Hassleben                         53n13     13e41
Hasslinghausen                    51n20     7e17
Hassloch                          49n22     8e16
Hatten                            53n2      8e22
Hattenhofen                       48n13     11e7
Hattingen                         51n23     7e10
Hattorf am Harz                   51n39     10e14
Hattstedt                         54n31     9e1
Haunersdorf                       48n36     12e43
Haunstetten                       48n18     10e54
Hausham                           47n45     11e50
Haussoemmern                      51n11     10e49
Hauzenberg                        48n39     13e38
Havelberg                         52n50     12e4
Havixbeck                         51n58     7e25
Haynau                            51n17     15e56
Hechingen                         48n21     8e58
Hechthausen                       53n38     9e14
Heckelberg                        52n44     13e50
Hecklingen                        51n51     11e32
Hedemuenden                       51n23     9e46
Hedersleben                       51n51     11e15
Heek                              52n7      7e6
Heepen                            52n1      8e35
Heeren-Werve                      51n35     7e43
Heeslingen                        53n19     9e20
Heessen                           51n42     7e50
Hehlen                            51n59     9e28
Heide                             54n12     9e6
Heideck                           49n8      11e7
Heidelberg                        49n25     8e43
Heidelsheim                       49n6      8e38
Heiden                            51n59     8e50
Heidenau BRD                      53n19     9e39
Heidenau DDR                      50n59     13e52
Heidenheim                        49n1      10e44
Heidenheim an der Brenz           48n40     10e8
Heidenoldendorf                   51n57     8e50
Heigenbruecken                    50n2      9e23
Heikendorf                        54n22     10e12
Heil                              51n38     7e35
Heilbronn                         49n8      9e13
Heiligenbeil                      54n28     19e57
Heiligenberg                      47n49     9e19
Heiligendamm                      54n8      11e50
Heiligenhafen                     54n22     10e58
Heiligenhaus                      51n19     6e59
Heiligenstadt BRD                 49n51     11e10
Heiligenstadt DDR                 51n23     10e9
Heilsberg                         54n9      20e35
Heilsbronn                        49n10     10e47
Heimbach                          50n38     6e28
Heimbuchenthal                    49n53     9e17
Heimburg                          51n49     10e54
Heimenkirch                       47n37     9e53
Heimsheim                         48n48     8e51
Heinersdorf bei Berlin            52n23     13e20
Heinersdorf bei Frankfurt an der O52n27     14e13
Heining                           48n35     13e24
Heinrichshorst                    52n20     11e42
Heinrichswalde                    55n3      21e41
Heinsberg                         51n3      6e5
Heisfelde                         53n15     7e26
Heitersheim                       47n53     7e40
Helbra                            51n33     11e29
Heldburg                          50n17     10e44
Helden                            51n7      7e56
Heldenbergen                      50n14     8e52
Heldra                            51n7      10e11
Heldrungen                        51n18     11e13
Helenenberg                       49n51     6e32
Helfta                            51n30     11e34
Helgoland                         54n12     7e53
Hellenthal                        50n29     6e26
Hellern                           52n15     7e58
Hellersen                         51n12     7e39
Helmbrechts                       50n14     11e43
Helmstedt                         52n13     11e0
Hemau                             49n3      11e47
Hemeln                            51n30     9e36
Hemer                             51n23     7e46
Hemfurth-Edersee                  51n10     9e2
Hemmerde                          51n33     7e48
Hemmerden                         51n7      6e36
Hemmingen-Westerfeld              52n19     9e45
Hemmoor                           53n41     9e8
Hengersberg                       48n47     13e3
Hengsen                           51n29     7e38
Henneberg                         50n29     10e21
Hennef                            50n46     7e16
Hennen                            51n27     7e39
Hennickendorf                     52n30     13e51
Hennigsdorf                       52n38     13e12
Henrichenburg                     51n35     7e19
Henstedt-Ulzburg                  52n47     9e58
Heppenheim an der Bergstrasse     49n39     8e38
Herbede                           51n25     7e16
Herbern                           51n44     7e39
Herbertingen                      48n4      9e26
Herbolzheim                       48n13     7e47
Herborn                           50n40     8e17
Herbrechtingen                    48n37     10e10
Herbsleben                        51n7      10e50
Herbstein                         50n34     9e20
Herdecke                          51n24     7e26
Herdorf                           50n46     7e56
Herdringen                        51n25     7e58
Herford                           52n6      8e40
Hergatz                           47n39     9e50
Hergisdorf                        51n32     11e28
Herhahn                           50n33     6e26
Heringen                          51n27     10e52
Heringsdorf                       54n18     11e0
Herleshausen                      51n0      10e9
Hermannsburg                      52n50     10e5
Hermannstein                      50n35     8e29
Hermeskeil                        49n39     6e56
Hermsdorf                         50n54     11e52
Herne                             51n32     7e13
Herongen                          51n24     6e15
Herpf                             50n34     10e20
Herrenalb                         48n48     8e26
Herrenberg                        48n35     8e52
Herrieden                         49n14     10e30
Herringen                         51n40     7e44
Herrlingen                        48n25     9e53
Herrnburg                         53n47     10e45
Herrnhut                          51n1      14e44
Herrnstadt                        51n34     16e42
Herrsching am Ammersee            48n0      11e10
Hersbruck                         49n30     11e26
Herschbach                        50n34     7e44
Herscheid                         51n10     7e44
Herten                            51n35     7e7
Hervest                           51n40     7e1
Herxheim                          49n9      8e13
Herzberg am Harz                  51n39     10e20
Herzberg bei Neuruppin            52n54     12e58
Herzberg bei Torgau               51n41     13e14
Herzebrock                        51n53     8e14
Herzfeld                          51n40     8e8
Herzfelde                         52n29     13e50
Herzhausen                        51n11     8e53
Herzogenaurach                    49n34     10e53
Herzsprung                        53n4      12e28
Hesel                             53n18     7e35
Hesepe                            52n26     7e58
Hesselte                          52n25     7e22
Hessen                            52n2      10e15
Hessenthal                        49n55     9e17
Hessisch Lichtenau                51n12     9e43
Hessisch Oldendorf                52n10     9e15
Hettenleidelheim                  49n32     8e4
Hettingen                         48n13     9e14
Hettstedt                         51n38     11e30
Hetzerath                         49n52     6e49
Heudeber                          51n54     10e50
Heustreu                          50n21     10e15
Heusweiler                        49n20     6e55
Heyderbreck                       50n20     18e12
Heyerode                          51n10     10e25
Hiddenhausen                      52n8      8e38
Hiddesen                          51n55     8e50
Hiddinghausen                     51n22     7e17
Hienheim                          48n52     11e46
Hiesfeld                          51n33     6e46
Hilbersdorf                       50n55     13e23
Hilchenbach                       51n0      8e6
Hildburghausen                    50n25     10e44
Hilden                            51n10     6e56
Hilders                           50n34     10e0
Hildesheim                        52n9      9e57
Hilgen                            51n6      7e9
Hille                             52n20     8e44
Hillegossen                       51n59     8e37
Hillesheim                        50n18     6e38
Hillmersdorf                      51n42     13e29
Hilpotstein                       49n12     11e12
Hiltrup                           51n54     7e38
Himmelpforten                     53n36     9e18
Himmelsthuer                      52n9      9e55
Hindelang                         47n30     10e22
Hindenburg                        50n18     18e46
Hinsbeck                          51n21     6e17
Hinte                             53n25     7e11
Hinterhermsdorf                   50n55     14e22
Hintersee BRD                     47n36     12e50
Hintersee DDR                     53n37     14e16
Hinterweidenthal                  49n12     7e45
Hinterzarten                      47n54     8e6
Hirsau                            48n44     8e44
Hirschaid                         49n49     10e59
Hirschau                          49n33     11e57
Hirschbach                        50n33     10e44
Hirschberg                        50n24     11e49
Hirschberg                        50n55     15e46
Hirschfeld                        51n23     13e37
Hirschfelde bei Berlin            52n38     13e48
Hirschfelde in der Oberlausitz    50n37     14e53
Hirschhorn                        49n27     8e53
Hitzacker                         53n9      11e2
Hochdahl                          51n13     6e56
Hochheide                         51n27     6e41
Hochheim                          50n1      8e20
Hochkirch                         51n9      14e34
Hochneukirch                      51n6      6e26
Hochspeyer                        49n26     7e54
Hockenheim                        49n19     8e33
Hockeroda                         50n35     11e26
Hodenhagen                        52n46     9e35
Hoechberg                         49n49     9e51
Hoechenschwand                    47n44     8e10
Hoechst                           49n48     8e59
Hoechstadt an der Aisch           49n42     10e44
Hoechstaedt an der Donau          48n36     10e34
Hoechsten                         51n27     7e29
Hoechstenbach                     50n38     7e44
Hoefen bei Nuernberg              49n8      11e21
Hoefen in Nordrhein-Westfalen     50n32     6e15
Hoehn                             50n37     8e0
Hoenebach                         50n56     9e56
Hoengen                           51n2      5e56
Hoeningen                         51n5      6e41
Hoenow                            52n32     13e38
Hoerbering                        48n23     12e33
Hoersingen                        52n16     11e9
Hoerstel                          52n18     7e35
Hoerstgen                         51n30     6e27
Hoesbach                          50n0      9e12
Hoesel                            51n19     6e54
Hoetensleben                      52n8      11e1
Hoetzum                           52n13     10e37
Hoevelhof                         51n49     8e40
Hoexter                           51n46     9e23
Hof                               50n18     11e55
Hofeld                            49n30     7e9
Hoffnung                          51n7      7e13
Hofgeismar                        51n30     9e22
Hofheim                           50n7      8e26
Hofheim in Unterfranken           50n8      10e31
Hofweier                          48n25     7e55
Hohebach                          49n22     9e44
Hohegeiss                         51n40     10e40
Hohen Neuendorf                   52n40     13e16
Hohenaschau                       47n45     12e19
Hohenberg                         49n16     11e30
Hohenbrunn                        48n3      11e42
Hohenbucko                        51n46     13e28
Hohendorf                         54n1      13e44
Hohenebra                         51n18     10e49
Hoheneggelsen                     52n13     10e10
Hohenfels                         49n12     11e51
Hohenfurch                        47n51     10e54
Hohenguestow                      53n14     13e59
Hohenhameln                       52n15     10e3
Hohenheide                        51n29     7e47
Hohenirlach                       49n22     12e13
Hohenkammer                       48n25     11e32
Hohenkirchen an der Ostsee        53n51     11e17
Hohenkirchen bei Kassel           51n23     9e29
Hohenkirchen in Ostfriesland      53n39     7e55
Hohenkirchen in Thueringen        50n51     10e41
Hohenleipisch                     51n30     13e34
Hohenleuben                       50n43     12e3
Hohenlimburg                      51n21     7e35
Hohenlinden                       48n9      12e0
Hohenmoelsen                      51n9      12e6
Hohenpolding                      48n23     12e8
Hohenseeden                       52n19     12e1
Hohenseefeld                      51n53     13e18
Hohenstaufen                      48n44     9e43
Hohenstein                        53n36     20e17
Hohenstein-Ernstthal              50n48     12e42
Hohenthurm                        51n31     12e5
Hohenwart                         48n36     11e23
Hohenwarthe                       52n13     11e42
Hohenwutzen                       52n51     14e7
Hohenzethen                       53n3      10e49
Hoherlehme                        52n19     13e37
Hohndorf                          50n45     12e40
Hohne                             52n35     10e22
Hohnstein                         50n59     14e10
Hohwacht                          54n19     10e41
Hoisdorf                          53n39     10e20
Hoisten                           51n8      6e42
Holdenstedt                       52n55     10e31
Holdorf                           52n35     8e7
Hollage                           52n20     7e58
Holleben                          51n26     11e53
Hollenstedt                       53n22     9e43
Hollern                           53n36     9e32
Hollfeld                          49n56     11e18
Hollingstedt                      54n27     9e19
Holnstein                         49n33     11e39
Holsterhausen                     51n41     6e57
Holthausen an der Ems             52n33     7e17
Holthausen bei Lingen             52n33     7e17
Holthausen im Ennepe-Ruhr-Kreis   51n23     7e13
Holthusen                         53n8      7e18
Holtorf                           52n40     9e13
Holtwick                          52n0      7e5
Holzbuettgen                      51n12     6e37
Holzen                            51n26     7e31
Holzgerlingen                     48n38     9e0
Holzhausen DDR                    51n18     12e28
Holzhausen an der Haide           50n13     7e55
Holzhausen bei Lemgo              52n1      8e44
Holzhausen bei Osnabrueck         52n13     8e1
Holzhausen im Wiehengebirge       52n17     8e32
Holzheim                          51n9      6e39
Holzkirchen                       47n52     11e42
Holzminden                        51n50     9e27
Holzweissig                       51n36     12e18
Holzwickede                       51n30     7e36
Homberg                           51n28     6e38
Homberg bei Duesseldorf           51n18     6e56
Homberg bei Duisburg              51n28     6e38
Homberg bei Kassel                51n2      9e24
Homberg bei Marburg               50n43     8e59
Homburg                           49n19     7e20
Homburg Bad                       50n13     8e37
Hoof                              51n17     9e20
Hoogstede                         52n34     6e56
Hooksiel                          53n38     8e1
Hoppegarten                       52n31     13e40
Hoppenrade                        52n32     12e56
Hopsten                           52n23     7e36
Horb am Neckar                    48n26     8e41
Horka                             51n16     14e56
Horn                              51n52     8e56
Hornbach                          49n11     7e22
Hornberg                          48n13     8e13
Hornburg                          52n1      10e36
Horneburg bei Hamburg             53n30     9e34
Horneburg bei Recklinghausen      51n38     7e18
Hornhausen                        51n2      11e10
Hornow                            51n38     14e31
Hornstorf                         53n54     11e32
Horrem                            51n6      6e48
Horst BRD                         53n48     9e37
Horst DDR                         53n22     10e37
Horstmar                          52n5      7e17
Horumersiel                       53n41     8e0
Hosena                            51n27     14e1
Hoya                              52n48     9e8
Hoyerswerda                       51n26     14e14
Hoym                              51n47     11e19
Hubbelrath                        51n16     6e55
Hude                              53n7      8e27
Hueckelhoven-Ratheim              51n4      6e10
Hueckeswagen                      51n8      7e20
Hueffenhardt                      49n18     9e4
Huefingen                         47n55     8e29
Hueinghausen                      51n11     7e48
Huels bei Recklinghausen          51n40     7e8
Huels im kempener Land            51n22     6e30
Huelscheid                        51n16     7e34
Huempfershausen                   50n40     10e13
Huenfeld                          50n40     9e46
Huenxe                            51n38     6e46
Huerth                            50n52     6e51
Huettental                        50n54     8e2
Huetting                          48n48     11e7
Huldessen                         48n24     12e42
Hundeluft                         51n58     12e20
Hungen                            50n28     8e54
Hunswinkel                        51n5      7e48
Husum                             54n28     9e3
Ibbenbueren                       52n16     7e43
Iburg                             52n9      8e2
Ichenhausen                       48n22     10e18
Ichenheim                         48n26     7e49
Ichtershausen                     50n52     10e58
Icking                            47n57     11e25
Idar-Oberstein                    49n42     7e19
Iden                              52n46     11e55
Idstedt                           54n35     9e31
Idstein                           50n13     8e16
Iffezheim                         48n49     8e8
Ifta                              51n4      10e11
Igel                              49n42     6e32
Igelsberg                         48n32     8e26
Igersheim                         49n29     9e49
Iggensbach                        48n44     13e8
Ihlienworth                       53n44     8e55
Ihmert                            51n20     7e44
Ihringen                          48n2      7e39
Ihringshausen                     51n21     9e31
Ihrlerstein                       48n56     11e52
Ilawa                             53n37     19e33
Ilberstedt                        51n48     11e40
Ilfeld                            51n34     10e47
Illertissen                       48n13     10e6
Illingen                          48n57     8e55
Ilmenau                           50n41     10e55
Ilowa                             51n30     15e12
Ilsenburg                         51n52     10e40
Ilshofen                          49n10     9e55
Ilten                             52n21     9e55
Ilverich                          51n17     6e42
Imgenbroich                       50n34     6e16
Immendingen                       47n56     8e44
Immenhausen                       51n25     9e28
Immensen                          52n23     10e4
Immenstaad                        47n40     9e22
Immenstadt                        47n33     10e13
Immigrath                         51n6      6e57
Impflingen                        49n10     8e7
In der Bredde                     51n20     7e23
