Ortsname                          Breite    Laenge
Arzfeld                           50n5      6e16
Asbeck                            51n22     7e18
Asberg                            51n26     6e40
Asch                              47n57     10e49
Aschaffenburg                     49n59     9e9
Ascheberg bei Muenster            51n47     7e37
Ascheberg bei Ploen               54n8      10e20
Aschendorf                        53n4      7e22
Aschersleben                      51n45     11e27
Asendorf                          52n46     9e0
Asperg                            48n54     9e7
Assel                             53n41     9e25
Asslar                            50n35     8e28
Assling                           48n0      12e0
Assmannshausen                    49n59     7e52
Athenstedt                        51n56     10e55
Atrop                             51n24     6e43
Attaching                         48n23     11e46
Attel                             48n1      12e1
Attendorn                         51n7      7e54
Attenhausen                       47n59     10e20
Attenkirchen                      48n30     11e46
Atzendorf                         51n55     11e35
Au in der Hallertau               48n33     11e45
Aub                               49n33     10e4
Aue                               50n35     12e42
Auerbach bei Chemnitz             50n41     12e54
Auerbach bei Karl-Marx-Stadt      50n41     12e54
Auerbach bei Plauen               50n30     12e23
Auerbach im Bayrischen Wald       48n48     13e6
Auerbach in der Oberpfalz         49n42     11e38
Auerswalde                        50n54     12e55
Auf dem Kreinberge                51n27     7e36
Aufham                            48n28     11e37
Aufsess                           49n54     11e13
Augsburg                          48n23     10e53
Augustdorf                        51n53     8e43
Augustusburg                      50n49     13e6
Aulendorf                         47n57     9e38
Auma                              50n42     11e54
Aumuehle                          53n31     10e19
Aunkirchen                        48n36     13e8
Aurach                            49n15     10e25
Aurich                            53n28     7e29
Auschwitz                         50n3      19e12
Avenwedde                         51n55     8e27
Aying                             47n58     11e46
Baak                              51n25     7e10
Baal                              51n2      6e17
Babenhausen bei Darmstadt         49n57     8e56
Babenhausen in Schwaben           48n9      10e15
Babimost                          52n10     15e51
Baborow                           50n9      17e59
Bacharach                         50n4      7e46
Bachl                             48n49     11e57
Backnang                          48n56     9e25
Bad Abbach                        48n56     12e3
Bad Aibling                       47n52     12e0
Bad Bentheim                      52n19     7e10
Bad Bergzabern                    49n7      8e0
Bad Berka                         50n54     11e17
Bad Bertrich                      50n4      7e2
Bad Bibra                         51n12     11e35
Bad Blankenburg                   50n41     11e16
Bad Bramstedt                     53n55     9e53
Bad Breisig                       50n31     7e18
Bad Buchau                        48n3      9e36
Bad Ditzenbach                    48n35     9e41
Bad Doberan                       54n6      11e53
Bad Dreibergen                    53n12     8e1
Bad Driburg                       51n44     9e1
Bad Dueben                        51n36     12e34
Bad Duerkheim                     49n28     8e10
Bad Duerrenberg                   51n18     12e4
Bad Duerrheim                     48n1      8e32
Bad Eilsen                        52n14     9e6
Bad Elster                        50n17     12e14
Bad Ems                           50n20     7e43
Bad Essen                         52n19     8e20
Bad Frankenhausen                 51n21     11e6
Bad Freienwalde                   52n47     14e1
Bad Friedrichshall                49n14     9e11
Bad Gandersheim                   51n52     10e1
Bad Godesberg                     50n41     7e10
Bad Gottleuba                     50n51     13e56
Bad Griesbach                     48n27     8e14
Bad Grund                         51n48     10e14
Bad Harzburg                      51n53     10e33
Bad Heilbrunn                     47n45     11e28
Bad Helmstedt                     52n14     11e3
Bad Hersfeld                      50n52     9e42
Bad Hoenningen                    50n31     7e19
Bad Homburg vor der Hoehe         50n13     8e37
Bad Honnef am Rhein               50n39     7e13
Bad Kissingen                     50n12     10e4
Bad Kleinen                       53n46     11e28
